year;GR;ISbau;GS_SG_old;rcp85;increase;FA_bau;GS_SG
1980;326181;97878;1,1;0.0374435852452385;1,21;0.15;1,1
1981;326181;97878;1,1;0.0374435852452385;1,145985401;0.15;1,1
1982;326181;97878;1,1;0.0374435852452385;1,121019108;0.15;1,1
1983;326181;97878;1,1;0.0374435852452385;1,099431818;0.15;1,1
1984;326181;97878;1,1;0.0374435852452385;1,049095607;0.15;1,1
1985;326181;97878;1,1;0.0374435852452385;1,071428571;0.15;1,1
1986;326181;97878;1,1;0.0374435852452385;1,075862069;0.15;1,1
1987;326181;97878;1,1;0.0374435852452385;1,074786325;0.15;1,1
1988;326181;97878;1,1;0.0374435852452385;1,079522863;0.15;1,1
1989;326181;97878;1,1;0.0374435852452385;1,090239411;0.15;1,1
1990;326181;97878;1,1;0.0374435852452385;1,047297297;0.15;1,1
1991;326181;97878;1,1;0.0374435852452385;1,027419355;0.15;1,1
1992;326181;97878;1,1;0.0374435852452385;1,021978022;0.15;1,1
1993;326181;97878;1,1;0.0374435852452385;1,015360983;0.15;1,1
1994;326181;97878;1,1;0.0374435852452385;1,040847201;0.15;1,1
1995;326181;97878;1,1;0.0374435852452385;1,043604651;0.15;1,1
1996;326181;97878;1,1;0.0374435852452385;1,025069638;0.15;1,1
1997;326181;97878;1,1;0.0374435852452385;1,017663043;0.15;1,1
1998;326181;97878;1,1;0.0374435852452385;1,018691589;0.15;1,1
1999;326181;97878;1,1;0.0374435852452385;1,02621232;0.15;1,1
2000;326181;97878;1,1;0.0374435852452385;1,019157088;0.15;1,1
2001;326181;97878;1,1;0.0326867497818477;1,023809524;0.15;1,1
2002;325752;95843;1,1;0.0418873173350915;1,028151775;0.15;1,1
2003;328438;95617;1,1;0.0491116895529777;1,039285714;0.15;1,1
2004;331266;94746;1,1;0.050037659902248;1,037800687;0.15;1,1
2005;331761;93331;1,1;0.0492080173817506;1,014348786;0.15;1,1
2006;332518;92313;1,1;0.0548252753687453;1,040261153;0.15;1,1
2007;335503;91344;1,1;0.0568636299222123;1,030334728;0.15;1,1
2008;338534;90726;1,1;0.0641852121764087;1,009137056;0.15;1,1
2009;340505;90139;1,1;0.0752259329148408;1,017102616;0.15;1,1
2010;342089;89554;1,1;0.0821752263457266;1,014836795;0.15;1,1
2011;341270;88684;5;0.0913293723893041;1,013645224;0.15;2
2012;339656;87633;10;0.0975737357243367;1,0125;0.15;4
2013;339146;85737;15;0.097328710764419;1,011396011;0.15;6
2014;339956;85103;18;0.100798830516718;1,009389671;0.15;9
2015;339602;84103;25;0.103885185116971;1,009302326;0.15;6
2016;339493;82902;20;0.111222154310301;1,00921659;0.15;4
2017;339740;81782;18;0.120637969328189;1,00456621;0.15;2
2018;338865;80726;15;0.129717304067681;1,009090909;0.15;1,1
2019;338004;79721;10;0.130739764526204;1,009009009;0.15;1,1
2020;336164;78387;5;0.136574729736905;1,004464286;0.15;1,1
2021;336285;77229;1,1;0.145933072555004;1,002898551;0.15;1,1
2022;334946;76195;1,1;0.150270147662487;1,002890173;0.15;1,1
2023;334914;75393;1,1;0.157148233503693;1,002881844;0.15;1,1
2024;333588,9052;73316,0948;1,1;0.15843557771582;1,002873563;0.15;1,1
2025;333105,5106;72620,48938;1,1;0.161793449953561;1,00286533;0.15;1,1
2026;332609,3951;71837,60487;1,1;0.169319534394086;1,002857143;0.15;1,1
2027;332087,8378;71109,16219;1,1;0.173104891253897;1,002849003;0.15;1,1
2028;331562,0402;70413,9598;1,1;0.18283795920686;1,002840909;0.15;1,1
2029;331029,8821;69760,11787;1,1;0.192025642489694;1,002832861;0.15;1,1
2030;330493,4838;69148,51625;1,1;0.205043148003824;1,002824859;0.15;1,1
2031;329948,6048;68580,39523;1,1;0.207616634303499;1,002816901;0.15;1,1
2032;329388,8847;68048,11527;1,1;0.214848560845183;1,002808989;0.15;1,1
2033;328818,5639;67548,43607;1,1;0.219613266896093;1,00280112;0.15;1,1
2034;328239,7625;67082,23748;1,1;0.225457165367561;1,002793296;0.15;1,1
2035;327639,7596;66657,2404;1,1;0.225051641226039;1,002785515;0.15;1,1
2036;327029,1559;66259,84409;1,1;0.233946661774514;1,002777778;0.15;1,1
2037;326397,3507;65896,64929;1,1;0.24735499612436;1,002770083;0.15;1,1
2038;325740,1037;65568,89631;1,1;0.255200448520556;1,002762431;0.15;1,1
2039;325053,1745;65271,82545;1,1;0.264492981148817;1,002754821;0.15;1,1
2040;324330,2028;65003,79717;1,1;0.269782773099289;1,002747253;0.15;1,1
2041;323562,7079;64763,29208;1,1;0.276607327743729;1,002739726;0.15;1,1
2042;323160,0032;64602,08387;1,1;0.286292186666332;1,00273224;0.15;1,1
2043;322709,8191;64422,09358;1,1;0.294597588480541;1,002724796;0.15;1,1
2044;322206,1268;64220,99086;1,1;0.303154580254659;1,002717391;0.15;1,1
2045;321644,1913;63996,98485;1,1;0.30821801616815;1,002710027;0.15;1,1
2046;321013,7304;63746,10143;1,1;0.322443819100244;1,002702703;0.15;1,1
2047;320307,3705;63465,56708;1,1;0.327041254922797;1,002695418;0.15;1,1
2048;319519,9707;63153,53695;1,1;0.338097725913358;1,002688172;0.15;1,1
2049;318649,0957;62809,2778;1,1;0.342970913617971;1,002680965;0.15;1,1
2050;317690,1458;62431,23844;1,1;0.348044090710638;1,002673797;0.15;1,1
2051;316646,0295;62020,86704;1,1;0.355475687193516;0,996;0.15;1,1
2052;315510,3206;61575,96868;1,1;0.366603627533391;0,995983936;0.15;1,1
2053;314293,2332;61100,9076;1,1;0.3767773692255;0,995967742;0.15;1,1
2054;313001,1941;60598,54387;1,1;0.385163463717218;0,995951417;0.15;1,1
2055;311637,3825;60070,46283;1,1;0.393871597134543;0,995934959;0.15;1,1
2056;310217,763;59523,17804;1,1;0.400609484915836;0,995918367;0.15;1,1
2057;308747,3413;58958,90234;1,1;0.420955613476735;0,995901639;0.15;1,1
2058;307246,2084;58385,5847;1,1;0.427017593597754;0,995884774;0.15;1,1
2059;305724,1051;57807,09821;1,1;0.437604956879142;0,995867769;0.15;1,1
2060;304194,4256;57228,62676;1,1;0.442514506217171;0,995850622;0.15;1,1
2061;302670,09;56655,07494;1,1;0.453258588749853;0,995833333;0.15;1,1
2062;301163,7484;56091,14808;1,1;0.461453408346776;0,9958159;0.15;1,1
2063;299689,7416;55542,08642;1,1;0.472640342619653;0,995798319;0.15;1,1
2064;298261,2606;55012,60006;1,1;0.485052894869908;0,995780591;0.15;1,1
2065;296889,6021;54506,61078;1,1;0.491486413002617;0,995762712;0.15;1,1
2066;295581,8693;54026,43174;1,1;0.502073589905465;0,995744681;0.15;1,1
2067;294341,3766;53572,95741;1,1;0.507524512862578;0,995726496;0.15;1,1
2068;293171,5739;53147,12676;1,1;0.523246733102086;0,995708155;0.15;1,1
2069;292074,423;52749,33637;1,1;0.536166738851142;0,995689655;0.15;1,1
2070;291057,7032;52382,09233;1,1;0.54065051253744;0,995670996;0.15;1,1
2071;290120,4674;52044,74086;1,1;0.552522715268497;0,995652174;0.15;1,1
2072;289248,3748;51731,8513;1,1;0.563263042780248;0,995633188;0.15;1,1
2073;288451,5722;51446,83622;1,1;0.575383719703128;0,995614035;0.15;1,1
2074;287718,7627;51185,43546;1,1;0.588681125406173;0,995594714;0.15;1,1
2075;287037,9056;50943,18524;1,1;0.601495391791698;0,995575221;0.15;1,1
2076;286405,4153;50718,67781;1,1;0.60965671971701;0,995555556;0.15;1,1
2077;285807,1539;50506,78917;1,1;0.617857565634115;0,995535714;0.15;1,1
2078;285227,8334;50302,03839;1,1;0.632333760381519;0,995515695;0.15;1,1
2079;284672,5273;50106,17372;1,1;0.641149367832114;0,995495495;0.15;1,1
2080;284116,8152;49910,54819;1,1;0.652503511105555;0,995475113;0.15;1,1
2081;283696,0517;49762,71789;1,1;0.666148294424859;0,995454545;0.15;1,1
2082;283275,3032;49615,1121;1,1;0.676138220117462;0,99543379;0.15;1,1
2083;282854,555;49467,72567;1,1;0.687697826794241;0,995412844;0.15;1,1
2084;282433,8066;49320,55839;1,1;0.694634584752055;0,995391705;0.15;1,1
2085;282013,0582;49173,61036;1,1;0.702747012520642;0,99537037;0.15;1,1
2086;281624,8455;49038,22784;1,1;0.72018632502536;0,995348837;0.15;1,1
2087;281236,6329;48903,03197;1,1;0.735819587638566;0,995327103;0.15;1,1
2088;280848,4204;48768,02275;1,1;0.747246168482439;0,995305164;0.15;1,1
2089;280460,2078;48633,20013;1,1;0.751038263540595;0,995283019;0.15;1,1
2090;280071,9953;48498,56416;1,1;0.763772858277024;0,995260664;0.15;1,1
2091;279711,8883;48373,84856;1,1;0.78165248066738;0,995238095;0.15;1,1
2092;279351,7811;48249,29346;1,1;0.790974225286001;0,995215311;0.15;1,1
2093;278991,674;48124,89896;1,1;0.80308386054614;0,995192308;0.15;1,1
2094;278631,5669;48000,66502;1,1;0.8101892809138;0,995169082;0.15;1,1
2095;278271,4598;47876,59164;1,1;0.8172947012738;0,995145631;0.15;1,1
2096;277956,1095;47768,07963;1,1;0.8244001216338;0,995121951;0.15;1,1
2097;277640,7594;47659,6908;1,1;0.8315055419938;0,995098039;0.15;1,1
2098;277325,4092;47551,42504;1,1;0.8386109623538;0,995073892;0.15;1,1
2099;277010,0589;47443,28237;1,1;0.8457163827138;0,995049505;0.15;1,1
2100;276694,7087;47335,26283;1,1;0.8528218030738;0,995024876;0.15;1,1
